 2412.18	0.00	tagon
 2412.50	0.89	call
 2413.67	0.28	call
 2415.04	1.89	call
 2418.67	9.87	call
 2429.33	1.26	call
 2432.64	1.29	call
 2438.89	4.19	call
 2444.16	0.94	call
 2446.35	11.63	call
 2458.73	1.32	call
 2460.15	4.49	call
 2465.61	1.72	call
 2467.87	1.16	call
 2470.10	1.11	call
 2471.54	0.75	call
 2472.29	1.57	call
 2475.35	1.58	call
 2477.45	0.57	call
 2478.65	1.10	call
 2481.39	0.29	call
 2481.70	1.11	call
 2483.36	1.34	call
 2485.29	1.30	call
 2486.65	0.76	call
 2489.48	0.26	call
 2489.73	1.03	call
 2491.72	0.68	call
 2494.23	1.03	call
 2495.23	0.96	call
 2498.01	0.85	call
 2499.54	0.58	call
 2501.27	0.79	call
 2503.44	0.94	call
 2504.50	0.87	call
 2506.75	0.51	call
 2508.92	0.94	call
 2512.17	1.62	call
 2515.81	1.00	call
 2515.84	1.89	call
 2519.86	1.90	call
 2521.25	0.72	call
 2524.24	1.76	call
 2528.44	1.76	call
 2529.62	0.93	call
 2532.31	1.84	call
 2536.36	0.82	call
 2538.99	1.34	call
 2550.12	1.70	call
 2556.17	1.91	call
 2560.35	1.41	call
 2567.33	1.95	call
 2569.92	0.73	call
 2571.54	1.48	call
 2576.52	0.97	call
 2578.93	1.57	call
 2579.87	0.64	call
 2589.30	0.58	call
 2589.58	1.52	call
 2594.62	0.86	call
 2598.68	1.80	call
 2601.04	0.76	call
 2602.91	1.94	call
 2608.98	1.25	call
 2612.79	1.00	call
 2614.72	0.57	call
 2615.30	1.47	call
 2617.51	0.73	call
 2618.31	1.65	call
 2621.15	0.61	call
 2621.65	1.01	call
 2622.85	0.71	call
 2623.66	0.85	call
 2624.51	0.54	call
 2625.08	1.33	call
 2625.85	0.47	call
 2626.96	0.98	call
 2633.69	1.01	call
 2638.73	0.91	call
 2640.30	0.97	call
 2641.64	0.96	call
 2642.63	1.25	call
 2643.87	0.93	call
 2645.14	0.61	call
 2647.71	0.61	call
 2649.78	0.69	call
 2665.17	0.69	call
 2690.48	1.21	call
 2696.81	1.19	call
 2697.26	0.76	call
 2698.87	0.73	call
 2700.52	0.82	call
 2701.15	1.39	call
 2702.85	0.78	call
 2705.35	0.87	call
 2706.28	1.16	call
 2726.48	1.33	call
 2728.00	0.68	call
 2731.53	0.75	call
 2771.17	1.25	call
 2772.36	1.37	call
 2781.87	0.42	call
 2804.93	0.58	call
 2808.95	1.08	call
 2837.64	1.41	call
 2838.68	0.68	call
 2839.13	0.80	call
 2842.85	0.64	call
 2874.57	0.32	call
 2877.55	0.39	call
 2880.05	0.85	call
 2882.69	1.36	call
 2885.81	1.47	call
 2888.97	1.62	call
 2891.11	0.67	call
 2893.01	1.44	call
 2894.16	0.79	call
 2901.51	0.35	call
 2901.98	0.68	call
 2902.60	0.62	call
 2903.79	1.15	call
 2904.68	0.97	call
 2905.64	0.75	call
 2911.64	1.12	call
 2913.05	0.72	call
 2916.14	1.59	call
 3123.98	1.58	call
 3125.19	0.97	call
 3127.16	0.44	call
 3129.36	0.93	call
 3131.26	2.01	call
 3160.52	0.73	call
 3194.49	0.73	call
 3197.70	0.80	call
 3200.53	0.71	call
 3208.38	1.00	call
 3211.80	1.01	call
 3221.41	0.85	call
 3226.04	1.46	call
 3233.90	0.75	call
 3246.62	1.46	call
 3247.05	1.33	call
 3251.39	1.14	call
 3252.49	0.80	call
 3265.97	0.97	call
 3266.92	0.89	call
 3273.03	0.78	call
 3280.49	0.98	call
 3282.75	0.46	call
 3283.39	0.53	call
 3283.87	0.69	call
 3307.69	0.76	call
 3333.62	1.62	call
 3346.70	0.10	startclick
 3351.64	1.00	call
 3353.43	1.16	call
 3365.12	0.72	call
 3366.05	0.85	call
 3375.61	0.78	call
 3376.28	0.90	call
 3378.99	0.51	call
 3393.36	0.72	call
 3408.73	0.51	call
 3409.19	0.53	call
 3412.00	0.55	call
 3437.41	0.55	call
 3465.90	1.10	buzz
 3527.47	0.51	call
 3533.30	3.30	buzz
 3546.87	0.67	call
 3637.10	5.60	buzz
 3660.61	0.49	call
 3701.74	0.47	call
 3749.46	0.50	call
 3785.98	0.54	call
 3820.47	0.50	call
 3844.32	0.54	call
 3878.30	2.30	buzz
 3910.55	1.01	call
 3938.31	0.75	call
 3950.26	0.93	call
 3958.67	0.89	call
 3974.05	1.01	call
 3987.36	0.64	call
 3989.42	0.97	call
 3996.90	0.10	endclick
 3996.95	1.11	call
 4001.75	0.71	call
 4008.07	0.65	call
 4014.00	0.80	call
 4015.00	0.94	call
 4022.53	0.54	call
 4041.99	0.68	call
 4058.69	1.03	call
 4066.22	0.96	call
 4108.22	0.93	call
 4162.44	0.80	call
 4177.38	0.75	call
 4244.43	0.85	call
 4247.12	0.54	call
 4250.45	0.94	call
 4255.40	0.10	startclick
 4301.87	0.62	call
 4330.63	0.53	call
 4343.80	0.58	call
 4344.51	0.78	call
 4356.31	0.58	call
 4372.95	0.49	call
 4546.36	0.46	call
 4600.38	0.46	call
 4618.00	1.20	buzz
 4631.50	2.10	buzz
 4699.14	0.28	call
 4840.35	0.33	call
 4869.00	1.60	buzz
 4904.78	0.49	call
 4930.55	0.40	call
 4951.94	0.47	call
 4952.94	0.29	call
 4971.00	0.71	call
 4986.92	0.94	call
 4999.93	0.80	call
 5003.87	1.72	call
 5006.78	1.84	call
 5012.20	1.95	call
 5020.66	0.50	call
 5021.18	1.21	call
 5027.20	0.10	endclick
 5027.37	0.54	call
 5028.28	0.62	call
 5036.09	0.64	call
 5051.22	1.10	call
 5052.29	1.32	call
 5054.65	1.36	call
 5070.05	0.97	call
 5089.75	0.69	call
 5090.50	0.96	call
 5105.66	0.87	call
 5112.98	1.54	call
 5115.28	1.07	call
 5116.24	1.14	call
 5152.84	0.93	call
 5154.46	0.67	call
 5180.88	0.90	call
 5191.94	0.79	call
 5223.78	0.54	call
 5231.52	0.96	call
 5232.67	0.83	call
 5235.25	1.04	call
 5238.23	0.47	call
 5239.17	0.72	call
 5240.50	0.58	call
 5242.08	0.42	call
 5243.45	0.65	call
 5245.60	0.10	startclick
 5250.72	0.69	call
 5251.36	0.69	call
 5260.70	0.69	call
 5261.46	0.64	call
 5269.47	0.51	call
 5274.02	0.61	call
 5284.29	0.96	call
 5302.55	0.73	call
 5310.56	0.87	call
 5311.97	0.65	call
 5336.98	0.72	call
 5360.49	0.57	call
 5388.91	0.71	call
 5443.30	3.30	buzz
 5446.65	0.33	call
 5472.50	0.61	call
 5487.60	1.80	buzz
 5556.40	4.40	buzz
 5617.03	0.30	call
 5716.44	0.40	call
 5839.96	0.30	call
 5885.30	0.90	buzz
 5891.28	0.43	call
 5894.19	0.42	call
 5895.31	0.24	call
 5898.76	0.85	call
 5907.40	0.96	call
 5931.49	0.95	call
 5946.20	0.10	endclick
 5950.77	0.65	call
 5965.94	0.94	call
 5968.46	1.04	call
 5969.94	0.86	call
 6016.62	0.76	call
 6048.37	0.91	call
 6131.94	0.88	call
 6138.00	0.10	startclick
 6151.16	0.89	call
 6152.08	0.88	call
 6172.82	0.46	call
 6173.76	0.63	call
 6280.50	0.36	call
 6311.90	2.00	buzz
 6344.51	0.32	call
